timestamp,omega_eng(t),omega_load(t),delta_w(t)
0.382,39.77853428718223,39.717774736152016,0.06075955103021613
0.383,39.82129275076092,39.808213455547744,0.013079295213174191
0.384,39.8620297183694,39.8983507580571,-0.0363210396876994
0.385,39.903790525635536,39.988019896780756,-0.08422937114522
0.386,39.949581680122954,40.077075925609684,-0.12749424548673005
0.387,40.00218130554304,40.16540602579102,-0.16322472024798174
0.388,40.06396338512403,40.252937267935366,-0.18897388281133232
0.389,40.136744381828855,40.3396419356202,-0.20289755379134533
0.39,40.221662192803294,40.42554005702186,-0.20387786421856902
0.391,40.319095671964554,40.51069894789726,-0.19160327593270665
0.392,40.42863060671798,40.59522975501155,-0.16659914829357092
0.393,40.54907524786211,40.6792811783106,-0.13020593044848994
0.394,40.67852542546839,40.763030731480036,-0.08450530601164274
0.395,40.81447612427813,40.84667406236457,-0.03219793808644056
0.396,40.95397344221443,40.9304129606821,0.023560481532335587
0.397,41.09380128764215,41.014441978790515,0.079359308851636
0.398,41.23068544393768,41.09893600718628,0.13174943675139872
0.399,41.361499643337694,41.184040239515646,0.1774594038220485
0.4,41.48346938786755,41.26986093434565,0.21360845352189983
0.401,41.59435638594727,41.35645851102649,0.23789787492078318
0.402,41.69261082297394,41.44384352178598,0.24876730118796075
0.403,41.77748074618997,41.53197579995552,0.24550494623445474
0.404,41.84907044071539,41.620766877147354,0.2283035635680335
0.405,41.9083428846171,41.71008554651469,0.1982573381024082
0.406,41.957065005887124,41.79976623786479,0.15729876802233633
0.407,41.99769829034714,41.88961967788046,0.10807861246667727
0.408,42.03324105319365,41.97944514829791,0.05379590489573616
0.409,42.0670321181294,42.06904354080541,-0.0020114226760128417
0.41,42.10253026655598,42.15822990686233,-0.05569964030635077
0.411,42.14308490756602,42.24684444468863,-0.1037595371226061
0.412,42.191701406700204,42.33476420237649,-0.14306279567628621
0.413,42.250830688495626,42.42191135803018,-0.17108066953455392
0.414,42.32219584000545,42.50825806117692,-0.18606222117146842
0.415,42.4066671239721,42.593827820936674,-0.18716069696457538
0.416,42.504195082788314,42.67869331864193,-0.17449823585361912
0.417,42.61380753166348,42.76297077284665,-0.14916324118316737
0.418,42.73367183440304,42.84681123005998,-0.11313939565693687
0.419,42.861219227924174,42.930389377168076,-0.0691701492439023
0.42,42.99332343632005,43.013890655451725,-0.020567219131677916
0.421,43.126521988172534,43.09749752094883,0.02902446722370655
0.422,43.25726823856013,43.18137503029337,0.07589320826676271
0.423,43.38218804812856,43.26565885783312,0.11652919029544506
0.424,43.498325045381165,43.35044600283289,0.14787904254827566
0.425,43.603361608871275,43.43578756110826,0.16757404776301144
0.426,43.69579580982418,43.521684858822766,0.17411095100141694
0.427,43.77506027364989,43.6080892943146,0.16697097933528937
0.428,43.841573038235154,43.69490593396224,0.14666710427291463
0.429,43.89671534894514,43.78200062816268,0.11471472078246592
0.43,43.942736708408994,43.86921014612412,0.07352656228487575
0.431,43.98259300113846,43.95635459410824,0.0262384070302204
0.432,44.01972886307022,44.043251164634185,-0.02352230156396473
0.433,44.05782320216483,44.12972734285797,-0.07190414069313533
0.434,44.10050959897497,44.215634312994155,-0.11512471401918134
0.435,44.15109184388844,44.30085973535588,-0.14976789146744096
0.436,44.212284633972956,44.38533687387094,-0.17305223989798435
0.437,44.285996413309356,44.46905021920047,-0.18305380589111309
0.438,44.373171872987214,44.55203717699388,-0.17886530400666345
0.439,44.47370753976722,44.63438564613635,-0.16067810636913293
0.44,44.58644844069165,44.716227631365165,-0.12977919067351706
0.441,44.709267607949414,44.797729348759624,-0.08846174081021019
0.442,44.83922365734822,44.87907856571854,-0.03985490837031591
0.443,44.97278536974907,44.96047014035147,0.012315229397600547
0.444,45.10610892081878,45.04209029982773,0.0640186209910496
0.445,45.235344127839156,45.12410148110425,0.11124264673490813
0.446,45.3569386778389,45.20663067288595,0.15030800495294727
0.447,45.46792638544347,45.289759566674654,0.17816681876881546
0.448,45.566172494840814,45.373518137218966,0.1926543576218478
0.449,45.65055464418814,45.457882348071614,0.1926722961165268
