timestamp,tire_F(t),suspension_travel(t),seat_a(t)
2.71,-4350.763209005276,0.8194012040549532,-0.023676093295381406
2.72,-4342.101017750689,0.8194171943202591,-0.026625391426682653
2.73,-4357.922676032728,0.819435424151704,-0.029408798141734374
2.74,-4359.077300138426,0.8194421884574111,-0.029108335707271258
2.75,-4317.736885008366,0.8194553517593527,-0.03150230852271344
2.76,-4306.657093209739,0.8195010889483323,-0.043070255902665625
2.77,-4312.841971024727,0.8195512477001912,-0.055121832117354566
2.78,-4313.697575024022,0.8196014425805428,-0.06817795390187863
2.79,-4362.4161005906,0.8196357009676742,-0.07437106814533839
2.8,-4371.632386558582,0.8196376539505135,-0.072087842158597
2.81,-4447.876898268332,0.819612989319992,-0.06015188324262984
2.82,-4439.759674601315,0.8195346876629606,-0.03477517447785014
2.83,-4432.282502675667,0.8194660904599467,-0.011911143218615432
2.84,-4467.617090626814,0.8193908353575495,0.01629974594834304
2.85,-4420.454850914856,0.8193049824546842,0.047508195014315406
2.86,-4380.526309130695,0.8192598544279821,0.06622870499961664
2.87,-4385.419967595293,0.8192449495840619,0.07631373367118689
2.88,-4372.890378249892,0.8192289911260415,0.08562739939890397
2.89,-4305.248214936321,0.8192381764939057,0.08242291739816779
2.9,-4281.130613537205,0.8192989742587619,0.06459616165253314
2.91,-4277.1305939543,0.8193799035084507,0.04195746681071455
2.92,-4283.723121863522,0.8194628780234157,0.01653109513051921
2.93,-4311.299091488524,0.8195353308891496,-0.008206365294813622
2.94,-4345.246314346086,0.8195780758680735,-0.02566026676219432
2.95,-4332.613980141896,0.8195986953106897,-0.037907900854785716
2.96,-4345.827289285478,0.8196235492164908,-0.050673497409508175
2.97,-4376.521252332554,0.8196326742790037,-0.05694095824642697
2.98,-4408.547451065383,0.8196130476798488,-0.05363933174344311
2.99,-4391.88245549314,0.8195719138787202,-0.044221713767166194
3.0,-4350.5988320361685,0.8195507009379073,-0.04004058521974798
3.01,-4321.785940814732,0.8195650564586803,-0.04431099559598314
3.02,-4359.890136561093,0.8195957746887689,-0.051207562709203104
3.03,-4395.282900267618,0.8195900029777724,-0.046336277862811436
3.04,-4396.661703147648,0.81956326143324,-0.0370708372967177
3.05,-4454.894508488037,0.8195176013438614,-0.020460033771096658
3.06,-4461.213540812204,0.8194339181738908,0.006736535445260945
3.07,-4503.156427442698,0.8193339746474316,0.04091764386440673
3.08,-4466.071177729835,0.8192116149912965,0.08370749233657383
3.09,-4427.831965037868,0.8191270507213442,0.1125689355073367
3.1,-4427.731899301172,0.8190680802560295,0.13485956092647294
3.11,-4387.866362231471,0.8190234625210802,0.1481654573719368
3.12,-4368.993678630491,0.8190104325903932,0.14949573376810765
3.13,-4356.202261604724,0.8190157819445114,0.14490288872300613
3.14,-4353.261648278436,0.8190322849064595,0.1359482393806464
3.15,-4373.985509001859,0.8190470451629726,0.12783619252240327
3.16,-4357.650456583079,0.8190483983665374,0.12102559095652245
3.17,-4316.003365469315,0.8190721235475292,0.10272100844237192
3.18,-4348.9300917916735,0.8191169018848261,0.08276191786737096
